case_id,model,version,task_id,status,video_url,elapsed,prompt_preview,error,seed
a1_neutral,happyhorse-1.0-t2v,1.0,535eae25-298b-4749-af2c-01b1facc1115,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/11/20260627/3419032b/89071571-metadata_video_1080p_535eae25-298b-4749-af2c-01b1facc1115_refiner_watermark.mp4?Expires=1782641519&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=2Np6GnujHPXDjc306nHCBew%2FGAY%3D,147,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a1_neutral,happyhorse-1.1-t2v,1.1,deb9f819-70de-4406-b087-4cd25a04bd38,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/02/20260627/630c1e98/13839093-metadata_video_1080p_deb9f819-70de-4406-b087-4cd25a04bd38_refiner_watermark.mp4?Expires=1782641532&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=%2BJqfe8Vabs37cw0M2GaoQnTq1nw%3D,157,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a2_profile,happyhorse-1.1-t2v,1.1,,SUBMIT_FAILED,,0,Lena is a 25-year-old East Asian woman with long straight black hair reaching mi,"('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",42
a2_profile,happyhorse-1.0-t2v,1.0,7a190f79-9acb-4de0-88fe-f0d770ac48b7,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/21/20260627/3419032b/59815572-metadata_video_1080p_7a190f79-9acb-4de0-88fe-f0d770ac48b7_refiner_watermark.mp4?Expires=1782641735&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=T06fx6j%2BOblXSBeCIhCxYmNG9Bw%3D,140,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a3_wide,happyhorse-1.0-t2v,1.0,4063b1a6-994e-4d75-a2f0-9ab05c2dfb26,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/5f/20260627/3419032b/49342772-metadata_video_1080p_4063b1a6-994e-4d75-a2f0-9ab05c2dfb26_refiner_watermark.mp4?Expires=1782641940&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=%2Fej9thC6zdR3rWFf6hrHg6OkDHg%3D,141,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a3_wide,happyhorse-1.1-t2v,1.1,700a988d-a905-427b-876a-52f6689096bc,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/36/20260627/630c1e98/20756752-metadata_video_1080p_700a988d-a905-427b-876a-52f6689096bc_refiner_watermark.mp4?Expires=1782641958&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=2%2FfUJT%2FcYgFsubCTtvaMdIcsGTc%3D,161,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a2_profile,happyhorse-1.1-t2v,1.1,dae4c81c-9cf9-43be-9b8d-5a7761d27086,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/21/20260627/630c1e98/21784220-metadata_video_1080p_dae4c81c-9cf9-43be-9b8d-5a7761d27086_refiner_watermark.mp4?Expires=1782642273&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=sdejUcMtmgytGTkKPflJwek38sM%3D,164,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a4_walk,happyhorse-1.0-t2v,1.0,b67b1700-fe51-4480-9807-6b148061a969,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/71/20260627/3419032b/77171835-metadata_video_1080p_b67b1700-fe51-4480-9807-6b148061a969_refiner_watermark.mp4?Expires=1782642250&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=Qv04D1Jm0Zrf2n98hfL9qfvy7JI%3D,174,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a4_walk,happyhorse-1.1-t2v,1.1,050123af-c1a3-4202-bb04-4cb1a81f60ff,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/55/20260627/630c1e98/20819082-metadata_video_1080p_050123af-c1a3-4202-bb04-4cb1a81f60ff_refiner_watermark.mp4?Expires=1782642503&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=W%2B2kKnBpJtaHFP9RkkEa8AFEX%2Fg%3D,157,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
a5_golden,happyhorse-1.0-t2v,1.0,e81c005f-cc8b-461d-87d1-f9a8e8eae5c1,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/35/20260627/3419032b/8950548-metadata_video_1080p_e81c005f-cc8b-461d-87d1-f9a8e8eae5c1_refiner_watermark.mp4?Expires=1782642489&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=7VO97wdH9n0je9RrLwcO7xCYSY8%3D,169,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes, s",{},42
