dim,case_id,task_id,status,video_url,elapsed,group,prompt,error,usage,request_id
t1_face,t1_e1,a1873a53-e8b2-4e70-b507-e9f943d54c7c,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/2f/20260627/3419032b/68682169-metadata_video_1080p_a1873a53-e8b2-4e70-b507-e9f943d54c7c_refiner_watermark.mp4?Expires=1782633580&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=zfNSfIcmMvRjX%2BER3mp1Od62sOg%3D,136,expression,"Character reference sheet of Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Front view, completely neutral expression, passport-photo style, even studio lighting, white background.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",eba064d1-cae5-96c3-bdbc-6694c0ad8500
t1_face,t1_e2,e0fd4b3d-0e0f-4ffd-89ea-7816c0847595,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/85/20260627/3419032b/56315926-metadata_video_1080p_e0fd4b3d-0e0f-4ffd-89ea-7816c0847595_refiner_watermark.mp4?Expires=1782633608&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=UiBkX%2BZx%2Flc3ZNvu%2BzN2i64MXYQ%3D,32,expression,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Gentle closed-lip smile, slight cheek raise, eyes relaxed, three-quarter view, soft window light from left.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",7d0f5205-bbf3-998a-8836-90a5fb658e10
t1_face,t1_e3,42b5ba83-c6c9-47b0-aaba-02738e5d2ce0,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/fa/20260627/3419032b/71117391-metadata_video_1080p_42b5ba83-c6c9-47b0-aaba-02738e5d2ce0_refiner_watermark.mp4?Expires=1782633813&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=NgDcd0DfDIEHVCorRyAGHqgStxs%3D,140,expression,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Slightly surprised expression, eyebrows raised 2mm, lips parted 5mm, eyes slightly wide, front view, even lighting.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",bc311576-86ce-972e-9871-8b8da7580aff
t1_face,t1_a1,0e42816d-a08b-43e7-99a4-fd0ff3f213d6,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/99/20260627/3419032b/88593303-metadata_video_1080p_0e42816d-a08b-43e7-99a4-fd0ff3f213d6_refiner_watermark.mp4?Expires=1782633822&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=pRZwTI6QZryZtulepefQHJr3xCA%3D,10,angle,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Profile view looking left, nose silhouette clearly visible, one eye visible, studio rim lighting, black background.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",86440d6f-a1ef-9af3-a7eb-e311272127ca
t1_face,t1_a2,589fe78d-0e7f-4f6b-be66-ee6aeb0c540e,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/d0/20260627/3419032b/28887566-metadata_video_1080p_589fe78d-0e7f-4f6b-be66-ee6aeb0c540e_refiner_watermark.mp4?Expires=1782634034&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=gRdul%2F10J0cPVSgM0Oiu4AuBVtU%3D,144,angle,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Looking up at 30 degrees, chin slightly raised, neck visible, front view from below, skylight illumination.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",15d61ef6-6184-90e2-9bd4-e1d95401ff50
t1_face,t1_a3,5d90d326-fe11-4a98-8e8f-b30d6610cffe,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/1c/20260627/c8a4f442/18933463-metadata_video_1080p_5d90d326-fe11-4a98-8e8f-b30d6610cffe_refiner_watermark.mp4?Expires=1782634036&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=g7%2FB1u%2Fido3lXa%2B7I12LmTTVvR0%3D,17,angle,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Three-quarter back view, looking over right shoulder, one eye visible, hair partially covering face, natural daylight.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",44d66d38-ce40-9891-8fe8-31ee1fddb759
t1_face,t1_l1,1161f0cf-3b55-485b-8a6a-678976f28276,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/9a/20260627/3419032b/982883-metadata_video_1080p_1161f0cf-3b55-485b-8a6a-678976f28276_refiner_watermark.mp4?Expires=1782634247&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=Bo10TOFf%2FLO2wn3a3Tj0oDh2GKI%3D,138,lighting_face,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Neutral front view. Lit by a single warm candle from below, dramatic shadows, dark background. Same facial structure.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",7eb837ca-efa1-972a-bdc6-0ab35afbe708
t1_face,t1_l2,33f3f72e-9143-43b2-bb38-3a380e3e8f33,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/51/20260627/a91015c0/75317447-metadata_video_1080p_33f3f72e-9143-43b2-bb38-3a380e3e8f33_refiner_watermark.mp4?Expires=1782634248&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=KY8J6BwlpE9fTdgOEi4A3mTE3yw%3D,10,lighting_face,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Neutral front view. Lit by harsh overhead fluorescent light, sharp shadows under nose and chin, clinical white background.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",a832d58f-5d71-9c65-a3a7-31aa68a1742d
t2_multi,t2_s1,ea809d75-9dfb-4896-b64b-495e9d7fb65e,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/ad/20260627/3419032b/38284563-metadata_video_1080p_ea809d75-9dfb-4896-b64b-495e9d7fb65e_refiner_watermark.mp4?Expires=1782634489&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=oQmxDnWIpHfrA%2Fom9TBYXueA5ik%3D,167,shot_scale,"Extreme wide shot establishing view: Lena: East Asian woman, 25, long straight black hair to mid-back, almond-shaped dark brown eyes, small straight nose, fair skin warm undertone. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape Standing in a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Full body visible, environmental context clear.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",7a3c8c81-a890-9f81-a008-4bdd45537300
t2_multi,t2_s2,494fd5ea-6e4f-4ca3-8f89-c5916228c777,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/16/20260627/a91015c0/14376649-metadata_video_1080p_494fd5ea-6e4f-4ca3-8f89-c5916228c777_refiner_watermark.mp4?Expires=1782634636&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=9ZEaRJ8NnK6XpkjuXm8hQCD5%2BJQ%3D,146,shot_scale,"Medium shot knee-up: Lena: East Asian woman, 25, long straight black hair to mid-back, almond-shaped dark brown eyes, small straight nose, fair skin warm undertone. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape In a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Arms relaxed at sides, looking at camera.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",367936d8-2027-90dc-b590-06ad30183320
t2_multi,t2_s3,4ae668b8-9eca-45af-ae3e-0a3152ddeff7,FAILED,,139,shot_scale,"Close-up shot head and shoulders: Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. In a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Soft expression, background blurred with bokeh.",Green net check failed for image (output): Output data may contain inappropriate content.,{},
t2_multi,t2_m1,65edbe03-4fa2-4eeb-b165-5d233da671e0,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/79/20260627/3419032b/28629482-metadata_video_1080p_65edbe03-4fa2-4eeb-b165-5d233da671e0_refiner_watermark.mp4?Expires=1782634836&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=YqpmiP8d7478OsUzypy%2BFWu5U1w%3D,10,motion,"Lena: East Asian woman, 25, long straight black hair to mid-back, almond-shaped dark brown eyes, small straight nose, fair skin warm undertone. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape Walking slowly toward camera through a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Natural gait, slight breeze moving hair.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",b3e35915-247f-9c9b-9ed1-9eccb6d53051
t2_multi,t2_m2,f306a977-6b01-4bcf-9f7f-07473d796432,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/29/20260627/3419032b/46671116-metadata_video_1080p_f306a977-6b01-4bcf-9f7f-07473d796432_refiner_watermark.mp4?Expires=1782635050&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=huOtDJhAvIIsL7Ga%2FZz4e5%2BddGM%3D,143,motion,"Lena: East Asian woman, 25, long straight black hair to mid-back, almond-shaped dark brown eyes, small straight nose, fair skin warm undertone. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape Turning to look at something off-screen to the right, a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Reaction shot.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",c52df33d-a34d-98f7-8f15-3b057a404101
t3_lighting,t3_01,d2bd708f-d7e8-4ceb-954c-2e01822182b4,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/cd/20260627/3419032b/10086010-metadata_video_1080p_d2bd708f-d7e8-4ceb-954c-2e01822182b4_refiner_watermark.mp4?Expires=1782635047&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=BEmqKdevGbKiBR4XCvfqQ27Wq90%3D,10,lighting,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape Standing in a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Golden hour warm sunset light, long shadows, warm color temperature 3200K.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",9a68d50f-53d9-985b-a8b9-6006614bb221
t3_lighting,t3_02,1f580621-f64e-4526-8b7e-8accff240d4f,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/1a/20260627/3419032b/84298744-metadata_video_1080p_1f580621-f64e-4526-8b7e-8accff240d4f_refiner_watermark.mp4?Expires=1782635268&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=QKUXWhTfbT%2BaCxgi4cZchkddtWs%3D,152,lighting,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape Standing in a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Overcast noon, soft diffused light, neutral 5500K color temperature, no shadows.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",543188df-bfb1-98c8-94bb-4e184012d71c
t3_lighting,t3_03,859eeaa3-0209-4df4-81f7-a9e4348f8dc6,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/7c/20260627/3419032b/14716171-metadata_video_1080p_859eeaa3-0209-4df4-81f7-a9e4348f8dc6_refiner_watermark.mp4?Expires=1782635282&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=y3iVJYuZls3FtrLfgo6KAeKUf2Y%3D,10,lighting,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape Standing in a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Deep blue moonlight, cool 8000K color temperature, rim light from above, dark shadows.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",eb1ef622-f079-924e-b48a-147e6c72e5a2
t3_lighting,t3_04,a777928b-1616-4a0e-b94a-5119a1ee2bbd,SUCCEEDED,https://dashscope-a717.oss-accelerate.aliyuncs.com/1d/81/20260627/3419032b/36143686-metadata_video_1080p_a777928b-1616-4a0e-b94a-5119a1ee2bbd_refiner_watermark.mp4?Expires=1782635490&OSSAccessKeyId=LTAI5tPxpiCM2hjmWrFXrym1&Signature=cHle3%2FTfUpgpbtwjQlDpxzSZ0W4%3D,141,lighting,"Lena is a 25-year-old East Asian woman with long straight black hair reaching mid-back, almond-shaped dark brown eyes with slight epicanthic fold, a small straight nose with a rounded tip, defined cupid's bow on medium lips, fair skin with subtle warm yellow undertone, oval face shape with gently pointed chin, medium eyebrows with a natural arch. She has a calm, intelligent demeanor. Wearing a tailored crimson red knee-length dress, subtle V-neck, sleeveless, no patterns, matte fabric with slight drape Standing in a sunlit urban garden with terracotta tiles, climbing ivy on a stone wall, warm afternoon light, shallow depth of field Harsh midday sun from directly above, strong shadows under chin and nose, high contrast.",,"{""duration"": 5, ""input_video_duration"": 0, ""output_video_duration"": 5, ""video_count"": 1, ""SR"": 1080, ""ratio"": ""16:9""}",5ae0664f-7841-942d-8d5e-fdc11f934cd9
